City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
21,Altay,47.8667,88.1167,24.21,88,100,1.66,CN,2021-02-06 15:42:55
22,Takoradi,4.8845,-1.7554,83.26,77,42,10.8,GH,2021-02-06 15:42:55
23,New Norfolk,-42.7826,147.0587,57.2,88,90,4.61,AU,2021-02-06 15:42:56
24,Manacapuru,-3.2997,-60.6206,82.4,78,40,8.05,BR,2021-02-06 15:42:56
25,Taki,22.5861,88.9214,73.0,60,20,6.91,IN,2021-02-06 15:42:56
26,Novoagansk,61.9449,76.6625,34.95,99,100,12.59,RU,2021-02-06 15:42:56
27,Aklavik,68.2191,-135.0107,-27.4,68,20,1.57,CA,2021-02-06 15:42:06
28,Nikolskoye,59.7035,30.7861,12.99,79,90,13.42,RU,2021-02-06 15:42:56
29,Albany,42.6001,-73.9662,35.01,39,76,4.0,US,2021-02-06 15:40:06
30,Luderitz,-26.6481,15.1594,77.23,46,0,30.27,NA,2021-02-06 15:41:52
31,Cape Town,-33.9258,18.4232,79.0,65,0,18.41,ZA,2021-02-06 15:42:56
32,Dikson,73.5069,80.5464,-29.18,86,34,10.02,RU,2021-02-06 15:39:53
33,Faanui,-16.4833,-151.75,81.37,69,0,10.25,PF,2021-02-06 15:40:01
34,Funadhoo,6.15,73.2667,82.2,73,37,9.57,MV,2021-02-06 15:42:56
35,Yellowknife,62.456,-114.3525,-43.01,66,1,2.3,CA,2021-02-06 15:40:12
36,General Roca,-39.0333,-67.5833,73.4,53,0,12.66,AR,2021-02-06 15:42:57
37,Maceio,-9.6658,-35.7353,89.6,58,40,6.91,BR,2021-02-06 15:38:41
38,Muros,42.7762,-9.0603,53.01,56,1,7.0,ES,2021-02-06 15:38:14
39,San Cristobal,7.7669,-72.225,68.25,89,100,4.23,VE,2021-02-06 15:41:01
40,Patnongon,10.9132,121.9937,78.55,76,63,6.69,PH,2021-02-06 15:42:57
41,Auki,-8.7676,160.7034,78.71,85,100,10.45,SB,2021-02-06 15:42:57
42,Jamestown,42.097,-79.2353,16.0,62,40,19.57,US,2021-02-06 15:41:56
43,Douglas,41.3,-96.167,10.4,79,90,3.44,US,2021-02-06 15:42:57
44,Hithadhoo,-0.6,73.0833,81.99,76,100,14.25,MV,2021-02-06 15:42:57
45,Pahrump,36.2083,-115.9839,44.01,40,0,1.45,US,2021-02-06 15:42:57
46,Saint-Philippe,-21.3585,55.7679,82.4,74,40,8.05,RE,2021-02-06 15:42:09
47,Yar-Sale,66.8333,70.8333,-30.93,84,100,13.53,RU,2021-02-06 15:42:57
48,Busselton,-33.65,115.3333,60.01,93,100,18.52,AU,2021-02-06 15:42:57
49,Kokopo,-4.352,152.2633,76.86,83,64,4.21,PG,2021-02-06 15:42:57
50,Formosa Do Rio Preto,-11.0483,-45.1931,77.63,68,100,9.69,BR,2021-02-06 15:42:58
51,Tezu,27.9167,96.1667,62.76,29,1,4.14,IN,2021-02-06 15:42:58
52,Bethel,41.3712,-73.414,37.99,44,1,8.05,US,2021-02-06 15:42:58
53,Fortuna,40.5982,-124.1573,45.0,100,90,3.04,US,2021-02-06 15:42:58
54,Castro,-24.7911,-50.0119,76.21,51,0,5.57,BR,2021-02-06 15:42:08
55,Koumac,-20.5667,164.2833,76.69,75,1,1.21,NC,2021-02-06 15:42:58
56,Codajas,-3.8367,-62.0569,77.29,95,100,4.32,BR,2021-02-06 15:42:58
57,Rosarito,32.3333,-117.0333,50.0,81,1,3.44,MX,2021-02-06 15:42:58
58,Ushuaia,-54.8,-68.3,51.8,50,40,19.57,AR,2021-02-06 15:39:28
59,Hobart,-42.8794,147.3294,57.2,88,90,4.61,AU,2021-02-06 15:42:58
60,Cayenne,4.9333,-52.3333,78.8,94,75,4.61,GF,2021-02-06 15:38:29
61,Mezen,65.8522,44.24,-4.38,90,98,9.13,RU,2021-02-06 15:42:59
62,Vila Velha,-20.3297,-40.2925,87.8,55,20,9.22,BR,2021-02-06 15:42:59
63,Iquique,-20.2208,-70.1431,77.0,53,0,13.8,CL,2021-02-06 15:42:59
64,Oranjestad,12.524,-70.027,84.2,61,20,23.02,AW,2021-02-06 15:42:59
65,Kodinsk,58.6881,99.1844,9.09,94,100,4.54,RU,2021-02-06 15:42:59
66,Acapulco,16.8634,-99.8901,80.6,69,20,5.75,MX,2021-02-06 15:39:44
67,Qaanaaq,77.484,-69.3632,9.66,87,100,7.31,GL,2021-02-06 15:42:59
68,Vaini,-21.2,-175.2,77.0,100,75,4.61,TO,2021-02-06 15:42:03
69,Hofn,64.2539,-15.2082,35.91,84,100,17.78,IS,2021-02-06 15:42:22
70,Timmins,48.4669,-81.3331,3.2,66,75,11.5,CA,2021-02-06 15:38:11
71,Zadar,44.1197,15.2422,57.2,88,75,13.8,HR,2021-02-06 15:42:59
72,Vanavara,60.34,102.2797,-0.96,93,100,4.45,RU,2021-02-06 15:42:59
73,Mataura,-46.1927,168.8643,49.21,94,3,1.16,NZ,2021-02-06 15:42:59
74,Hilo,19.7297,-155.09,61.0,67,1,6.91,US,2021-02-06 15:42:59
75,North Bend,43.4065,-124.2243,43.0,93,90,5.75,US,2021-02-06 15:43:00
76,Sioux Lookout,50.1001,-91.917,-16.6,69,90,17.27,CA,2021-02-06 15:40:42
